Date	High	Time	Low	Time	Mean	Degree days	Chill hours	RH Hi	RH Lo	Rainfall
7/2/15	70.2	04:00p	52.8	12:00a	63.5	13.5	0	94	44	0
7/3/15	78.8	06:00p	48.3	05:30a	65	15.1	3	97	26	0
7/4/15	76.3	03:30p	62.1	12:00a	68.8	18.8	0	95	53	0
7/5/15	81.4	06:00p	56.1	06:00a	68.9	18.9	0	99	36	0
7/6/15	81.6	06:30p	62.5	05:30a	73.2	23.2	0	86	55	0.06
7/7/15	87.7	05:00p	70	10:00p	77.1	26.9	0	87	39	0.07
7/8/15	71.6	12:30a	59.5	08:00a	64.6	14.6	0	99	57	0.19
7/9/15	68.5	12:30p	58.9	03:00a	63.6	13.6	0	100	73	0.47
7/10/15	77.7	04:00p	56	06:00a	66.6	16.6	0	100	39	0.01
7/11/15	81.6	05:00p	54.9	06:00a	69.2	19.2	0	98	37	0
7/12/15	85.6	03:00p	59.4	05:30a	72.1	22.1	0	98	34	0
7/13/15	86.7	04:00p	66	05:30a	76.5	26.4	0	87	35	0
7/14/15	78.5	11:30a	66.2	07:00a	71.2	21.2	0	98	62	0.68
7/15/15	67.5	03:00a	54.8	12:00a	60.5	10.5	0	99	52	0
7/16/15	74.3	06:00p	48.7	05:00a	62.2	12.3	3	100	35	0
7/17/15	75.4	03:30p	54.8	03:00a	67.1	17.1	0	96	57	0.02
7/18/15	87.9	04:00p	40.7	10:00p	76.5	26.5	0.5	95	53	0.16
7/19/15	90	04:30p	70.5	03:00a	80.4	29.6	0	88	48	0
7/20/15	85.5	04:00p	66.7	11:30p	76.5	26.5	0	87	32	0.01
7/21/15	77.6	11:30a	61.6	11:00p	70.4	20.4	0	90	43	0.07
7/22/15	75.9	05:00p	56.6	04:00a	66.5	16.5	0	92	35	0
7/23/15	76.8	04:00p	53.7	05:30a	65.7	15.7	0	97	33	0
7/24/15	81	05:00p	53.2	06:00a	67.6	17.6	0	96	31	0
7/25/15	81.3	05:00p	57.4	06:00a	69.6	19.6	0	91	43	0.17
7/26/15	82.7	05:00p	65.2	12:00a	73	23	0	97	51	0.58
7/27/15	85.9	05:30p	61.3	05:30a	73.8	23.8	0	100	35	0
7/28/15	87.6	04:00p	63.1	06:00a	75.4	25.2	0	96	41	0
7/29/15	91.6	04:30p	63.5	05:30a	78.2	27.2	0	93	34	0
7/30/15	83.3	04:00p	69	12:00a	76.8	26.8	0	98	40	0.61
7/31/15	84.1	05:00p	63.2	06:30a	73	23	0	89	37	0
8/1/15	78.9	03:30p	60.7	11:30p	70.3	20.3	0	95	37	0
8/2/15	83.4	05:30p	58.2	05:30a	72.8	22.8	0	92	31	0
8/3/15	82	04:00p	63.8	12:00a	73.5	23.5	0	90	40	0
8/4/15	77.8	03:30p	59.1	06:00a	68.4	18.4	0	98	47	0
8/5/15	75.8	02:00p	57.6	11:00p	67.6	17.6	0	93	38	0
8/6/15	75.5	04:30p	54.6	06:30a	65.6	15.6	0	98	42	0
8/7/15	77.8	03:30p	51.4	06:00a	65.2	15.2	0	99	37	0
8/8/15	74.1	04:00p	53.3	05:30a	63.7	13.7	0	99	53	0
8/9/15	81.3	05:30p	53.5	06:00a	67.4	17.4	0	100	41	0
8/10/15	83	03:00p	61.1	12:30a	71.2	21.2	0	94	51	0.1
8/11/15	77	05:30p	66.3	06:30a	69.7	19.7	0	97	55	0.68
8/12/15	72.3	04:30p	58.1	12:00a	66.4	16.4	0	92	57	0.13
8/13/15	78	05:30p	52	06:00a	65.6	15.6	0	99	35	0
8/14/15	82.7	04:00p	65.7	03:30a	73.6	23.6	0	88	48	0
8/15/15	83.4	05:00p	66.7	03:00a	74.1	24.1	0	96	45	0
8/16/15	87.8	04:30p	62.6	06:30a	74.7	24.5	0	100	40	0
8/17/15	90.1	05:00p	64.5	06:30a	76.7	26	0	97	40	0
8/18/15	89.9	01:30p	66.7	06:30a	74.9	24.6	0	97	43	0.07
8/19/15	85.9	05:30p	69.3	01:00a	77.6	27.6	0	90	54	0
8/20/15	82.3	01:30p	63.3	12:00a	74	24	0	98	58	0.38
8/21/15	76	04:00p	57.7	09:30p	65.8	15.8	0	99	39	0.01
8/22/15	75.3	05:00p	54	06:30a	63.6	13.6	0	98	50	0
8/23/15	81.5	04:30p	52.1	05:00a	66.4	16.4	0	100	37	0
8/24/15	77	04:00p	58	12:00a	67.4	17.4	0	96	46	0
8/25/15	75	12:30p	54.9	03:00a	64.2	14.2	0	99	38	0
8/26/15	71.4	01:30p	55.6	03:30a	63.3	13.3	0	92	50	0
8/27/15	68.6	01:30p	53.8	12:00a	61.8	11.8	0	97	55	0
8/28/15	76.7	03:30p	48.8	06:30a	61.9	11.9	2.5	100	37	0
8/29/15	82.5	03:30p	56.6	12:30a	67.7	17.7	0	95	34	0
8/30/15	83.2	04:30p	62.4	12:30a	71.1	21.1	0	95	48	0
8/31/15	85	03:30p	63.7	07:00a	73.2	23.2	0	96	44	0
9/1/15	84.9	04:30p	61.4	07:00a	71.1	21.1	0	100	46	0
9/2/15	86.9	04:30p	60.7	06:30a	72.9	22.8	0	100	48	0
9/3/15	87.2	03:30p	49.3	01:00a	73.2	23.1	0.5	100	48	0
9/4/15	88.1	04:00p	64	01:30a	74.9	24.8	0	100	43	0
9/5/15	89	04:30p	68.8	06:30a	76.2	25.9	0	85	41	0
9/6/15	91.3	04:30p	65.8	07:00a	77.5	26.7	0	88	34	0
9/7/15	92.1	03:30p	67.4	06:30a	79.1	27.7	0	86	35	0
9/8/15	94.1	04:30p	67	06:30a	80.6	29	0	92	31	0
9/9/15	91	01:30p	65.4	12:00a	75.1	24.8	0	96	33	0.28
9/10/15	72.5	02:30p	57.1	12:00a	64.8	14.8	0	96	46	0.01
9/11/15	78.1	04:30p	51.4	07:00a	63.8	13.8	0	100	33	0
9/12/15	64.5	11:00a	54.5	03:00a	60.2	10.2	0	99	78	0.67
9/13/15	62.4	01:30a	52.8	12:00a	56.9	6.9	0	100	66	0.23
9/14/15	71.2	04:00p	52.1	12:00a	59.4	9.4	0	97	38	0.19
9/15/15	81.2	04:30p	48.7	06:30a	64.1	14.2	4.5	98	34	0
9/16/15	84.6	05:00p	53.7	05:30a	68.1	18.1	0	99	34	0
9/17/15	86.5	04:00p	58.8	07:30a	70.3	20.3	0	97	32	0
9/18/15	86.1	05:00p	58.4	02:00a	72.6	22.6	0	91	28	0
9/19/15	78.9	12:00p	59.5	12:00a	70.5	20.5	0	97	46	0.56
9/20/15	66.4	02:30p	45.9	12:00a	57.1	7.6	4	99	39	0.02
9/21/15	69.1	05:30p	42.6	06:00a	54.6	6.8	8.5	100	39	0.01
9/22/15	77.1	04:30p	50.9	11:30p	61.5	11.5	0	88	26	0
9/23/15	76.9	04:30p	45.2	06:30a	60.8	11.4	4	98	34	0
9/24/15	77.8	04:30p	48.3	07:00a	61.9	12.1	6.5	100	41	0
9/25/15	78.6	04:00p	51.4	05:30a	63.4	13.4	0	99	39	0
9/26/15	74.6	05:00p	48.8	07:00a	61.3	11.4	3.5	100	46	0
9/27/15	76.7	04:30p	53.1	07:30a	63.6	13.6	0	87	34	0
9/28/15	70.9	12:30p	59.2	04:00a	65.8	15.8	0	90	67	0.05
9/29/15	71.4	11:30a	64.6	12:00a	67.8	17.8	0	100	77	2.08
9/30/15	64.7	12:30a	47.5	12:00a	54.6	4.9	8	100	86	1.8
10/1/15	57.2	04:30p	42.9	12:00a	48	1.2	17.5	95	55	0
10/2/15	51.1	04:00p	39.1	06:30a	44.9	0.1	20.5	97	51	0
10/3/15	53	02:00p	39.9	06:00a	45.9	0.2	21	98	55	0.04
10/4/15	64.5	02:30p	43.2	05:00a	53.6	5	8.5	99	43	0
10/5/15	70	04:30p	44.7	08:00a	55.3	6.4	8.5	87	28	0
10/6/15	60.4	02:00p	51	06:30a	55.4	5.4	0	99	67	0
10/7/15	69.4	04:30p	49.6	05:30a	58.5	8.5	0.5	100	47	0.01
10/8/15	67.7	04:00p	48	04:00a	56.4	6.5	1.5	99	44	0
10/9/15	62.9	03:30p	45.1	11:30p	57.7	8.2	4	98	63	0.84
10/10/15	58.7	05:00p	41	07:30a	48	1.6	17	100	43	0
10/11/15	74.1	04:30p	44.8	04:30a	58.2	9.5	8.5	81	25	0
10/12/15	78.5	03:30p	54.6	06:00a	64.7	14.7	0	59	19	0
10/13/15	67.8	01:00p	53.9	11:30p	58.9	8.9	0	92	54	0.16
10/14/15	54.5	02:30a	42.6	11:30p	51.2	2.1	6	95	71	0
10/15/15	64.6	04:30p	39.7	05:30a	52.3	4.7	9	99	33	0.01
10/16/15	58.4	03:30p	43	12:00a	49	1.1	17	88	39	0.03
10/17/15	45.6	03:30p	33.2	12:00a	39	0	24	87	34	0
10/18/15	41	04:00p	31.2	04:30a	35.3	0	23	96	41	0
10/19/15	55	04:30p	28.8	06:30a	43.2	0.9	9.5	97	33	0
10/20/15	67.2	03:00p	51.3	04:30a	57.5	7.5	0	75	30	0
10/21/15	69	04:00p	53.4	06:30a	60.3	10.3	0	78	39	0.01
10/22/15	64.6	01:00p	48.7	10:00p	57.8	7.9	2.5	83	34	0.14
10/23/15	51.4	03:30p	34.2	12:00a	42.5	0.1	21.5	90	44	0
10/24/15	50.2	07:00p	34.2	12:30a	44	0	23	95	52	0.41
10/25/15	70.7	05:00a	38.8	09:30p	49	1.1	12	97	59	0.19
10/26/15	50.3	04:00p	31.3	07:30a	40.1	0	21.5	97	40	0
10/27/15	59.3	03:30p	29.8	07:30a	43.5	1.8	11	95	32	0
10/28/15	61.6	11:30p	45.5	07:00a	52.6	3.7	11	94	66	0.49
10/29/15	61.3	12:30a	45.7	12:00a	54	4.5	5	98	34	0.12
10/30/15	49	04:00p	31.4	12:00a	43	0	23.5	96	48	0
10/31/15	51.9	03:30p	29.5	04:00a	41.7	0.1	15	100	44	0
