project_name,user_email,plate_name,well,ncbi_tax_id,sample_name,concentration_ng_ul,volume_ul,experimental_condition,tissue_type,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number,seedlot_name,num_seed_per_plot,weight_gram_seed_per_plot
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G11,4577,19A0419,237,20,Experimental,Kernel,T35,419,20,0,1,3,1,39,17A0589,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H11,4577,19A0037,217,20,Experimental,Kernel,G8,37,2,0,1,1,8,4,17A0022,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A12,4577,19A0225,234,20,Experimental,Kernel,MDM-12,225,11,0,1,2,5,21,17A0427,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B12,4577,19A0195,212,20,Experimental,Kernel,Wh98044,195,9,0,1,2,4,18,17A0295,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C12,4577,19A0223,229,20,Experimental,Kernel,Ia4189,223,11,0,1,2,3,21,17A0429,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D12,4577,19A0379,245,20,Experimental,Kernel,CHECK4,379,18,1,1,3,5,35,17A0610,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E12,4577,19A0198,239,20,Experimental,Kernel,Wuh09174i,198,9,0,1,2,1,18,17A0409,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F12,4577,19A0185,236,20,Experimental,Kernel,EP62,185,9,0,1,2,9,17,17A0211,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G12,4577,19A0325,231,20,Experimental,Kernel,IP39,325,15,0,1,2,6,30,17A0351,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H12,4577,19A0306,230,20,Experimental,Kernel,W5552,306,14,0,1,2,3,28,17A0325,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A01,4577,19A0086,210,20,Experimental,Kernel,CHECK2,86,4,1,1,1,3,8,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B01,4577,19A0079,223,20,Experimental,Kernel,We08414a,79,4,0,1,1,10,8,17A0125,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C01,4577,19A0433,255,20,Experimental,Kernel,I45,433,20,0,1,3,8,40,17A0515,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D01,4577,19A0070,228,20,Experimental,Kernel,Ia2076,70,4,0,1,1,4,7,17A0128,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E01,4577,19A0428,156,20,Experimental,Kernel,T24,428,20,0,1,3,10,39,17A0481,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F01,4577,19A0333,210,20,Experimental,Kernel,Wh05066a,333,16,0,1,2,3,31,17A0418,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G01,4577,19A0312,214,20,Experimental,Kernel,C31,312,15,0,1,2,4,29,17A2164,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H01,4577,19A0438,297,20,Experimental,Kernel,MDM-9,438,20,0,1,3,3,40,17A0509,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A02,4577,19A0370,216,20,Experimental,Kernel,IaEV191,370,17,0,1,3,5,34,17A0506,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B02,4577,19A0273,214,20,Experimental,Kernel,P39a,273,13,0,1,2,9,25,17A0251,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C02,4577,19A0059,220,20,Experimental,Kernel,W6462,59,3,0,1,1,8,6,17A0020,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D02,4577,19A0139,224,20,Experimental,Kernel,Wh93017,139,7,0,1,1,7,13,17A0127,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E02,4577,19A0360,221,20,Experimental,Kernel,EP85,360,17,0,1,3,8,33,17A0602,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F02,4577,19A0365,212,20,Experimental,Kernel,IL729a,365,17,0,1,3,10,34,17A0594,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G02,4577,19A0439,287,20,Experimental,Kernel,Wh10046R,439,20,0,1,3,2,40,17A0518,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H02,4577,19A0367,214,20,Experimental,Kernel,IL31a,367,17,0,1,3,8,34,17A0522,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A03,4577,19A0423,221,20,Experimental,Kernel,CHECK4,423,20,1,1,3,5,39,17A0610,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B03,4577,19A0103,223,20,Experimental,Kernel,Wh00051,103,5,0,1,1,8,10,17A0101,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C03,4577,Pos_Control,200,20,Pos_Control,Kernel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D03,4577,19A0403,208,20,Experimental,Kernel,fill_c4,403,19,1,1,3,7,37,17A0610,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E03,4577,19A0252,213,20,Experimental,Kernel,IL671a,252,12,0,1,2,10,23,17A0413,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F03,4577,19A0296,232,20,Experimental,Kernel,CHECK3,296,14,1,1,2,10,27,17A0632,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G03,4577,19A0395,220,20,Experimental,Kernel,Wu99811,395,18,0,1,3,2,36,17A0616,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H03,4577,19A0267,201,20,Experimental,Kernel,W3647,267,13,0,1,2,3,25,17A0400,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A04,4577,19A0447,212,20,Experimental,Kernel,CHECK4,447,21,1,1,3,7,41,17A0610,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B04,4577,19A0300,209,20,Experimental,Kernel,Wh09009,300,14,0,1,2,9,28,17A0263,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C04,4577,19A0227,222,20,Experimental,Kernel,IL615a,227,11,0,1,2,7,21,17A0348,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D04,4577,19A0049,202,20,Experimental,Kernel,W1736,49,3,0,1,1,5,5,17A0297,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E04,4577,19A0118,204,20,Experimental,Kernel,CHECK2,118,6,1,1,1,8,11,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F04,4577,19A0113,222,20,Experimental,Kernel,fill_c2,113,6,1,1,1,3,11,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G04,4577,19A0020,221,20,Experimental,Kernel,fill_c2,20,1,1,1,1,3,2,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H04,4577,19A0131,225,20,Experimental,Kernel,We01407,131,6,0,1,1,2,12,17A1470,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A05,4577,19A0247,232,20,Experimental,Kernel,CHECK3,247,12,1,1,2,5,23,17A0632,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B05,4577,19A0378,237,20,Experimental,Kernel,EP58,378,18,0,1,3,4,35,17A0499,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C05,4577,19A0053,237,20,Experimental,Kernel,C2,53,3,0,1,1,9,5,17A0144,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D05,4577,19A0287,233,20,Experimental,Kernel,C22,287,14,0,1,2,1,27,17A0199,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E05,4577,19A0392,203,20,Experimental,Kernel,Ia2730,392,18,0,1,3,5,36,17A0517,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F05,4577,19A0229,241,20,Experimental,Kernel,EP83,229,11,0,1,2,9,21,17A0446,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G05,4577,19A0153,258,20,Experimental,Kernel,fill_c2,153,7,1,1,1,2,14,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H05,4577,19A0126,256,20,Experimental,Kernel,CHECK1,126,6,1,1,1,7,12,17A088,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A06,4577,19A0162,209,20,Experimental,Kernel,P51,162,8,0,1,2,8,15,17A0271,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B06,4577,19A0346,258,20,Experimental,Kernel,R853,346,16,0,1,2,7,32,17A0319,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C06,4577,19A0123,206,20,Experimental,Kernel,Wh93006,123,6,0,1,1,10,12,17A0164,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D06,4577,19A0349,233,20,Experimental,Kernel,Wh09068,349,16,0,1,2,4,32,17A0421,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E06,4577,19A0302,219,20,Experimental,Kernel,Wu00802,302,14,0,1,2,7,28,17A0363,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F06,4577,19A0376,207,20,Experimental,Kernel,IL733a,376,18,0,1,3,2,35,17A0487,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G06,4577,19A0072,209,20,Experimental,Kernel,SD277,72,4,0,1,1,6,7,14:32365,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H06,4577,19A0018,209,20,Experimental,Kernel,Wuh07481i,18,1,0,1,1,5,2,17A0161,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A07,4577,19A0069,205,20,Experimental,Kernel,M23,69,4,0,1,1,3,7,17A0122,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B07,4577,19A0091,204,20,Experimental,Kernel,C4,91,5,0,1,1,3,9,17A0015,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C07,4577,19A0094,225,20,Experimental,Kernel,Wuh07466i,94,5,0,1,1,6,9,16A2244,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D07,4577,19A0178,233,20,Experimental,Kernel,Ia5125,178,9,0,1,2,2,17,17A0221,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E07,4577,19A0007,246,20,Experimental,Kernel,Wuh07413i,7,1,0,1,1,7,1,17A0035,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,F07,4577,19A0147,229,20,Experimental,Kernel,Wuh09149i,147,7,0,1,1,8,14,17A0129,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,G07,4577,19A0249,223,20,Experimental,Kernel,C23,249,12,0,1,2,7,23,17A0273,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,H07,4577,19A0348,217,20,Experimental,Kernel,T20,348,16,0,1,2,5,32,17A0320,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,A08,4577,19A0080,264,20,Experimental,Kernel,Wuh09164i,80,4,0,1,1,9,8,17A0173,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,B08,4577,19A0211,202,20,Experimental,Kernel,Wuh98032,211,10,0,1,2,10,20,16A2256,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,C08,4577,19A0081,234,20,Experimental,Kernel,C38,81,4,0,1,1,8,8,17A0040,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,D08,4577,19A0154,239,20,Experimental,Kernel,We03418a,154,7,0,1,1,1,14,17A0055,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_02,E08,4577,19A0109,205,20,Experimental,Kernel,Wh10231V,109,5,0,1,1,2,10,16A2226,12,10
