sample_name,sample_title_DO_NOT_EDIT,library_name,organism,ncbi_taxon_id,cultivar_or_isolate_or_ecotype,tissue,tissue_developmental_stage,plant_age,treatment,specimen_source,growing_location,growing_conditions,geographic_location,biological_replicate,tissue_harvested_by,tissue_harvest_date,sample_tissue_comments,nucleic_acid_extraction_method,dnase_rnase_treatment,nucleic_acid_clean_method,nucleic_acid_concentration_via_qubit_ng/ul,nanodrop_260/280,nanodrop_260/230,nucleic_acid_volume_ul,nucleic_acid_buffer,nucleic_acid_extracted_by,nucleic_acid_extraction_date,nucleic_acid_image,Plate,Well,nucleic_acid_comments
19A0225,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,1560.334,2.026,1.548,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,A12,
19A0303,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,1428.1,1.997,1.345,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,B01,says redo in sharpie
19A0410,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,2577.144,1.866,1.634,20,Water,Jenna Hershberger,3/15/20,TRUE,SC_RNA_01,B02,
19A0355,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,959.951,2.034,1.359,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_01,B03,
Neg_Control,,,Zea mays,1,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,20,Water,Jenna Hershberger,,FALSE,SC_RNA_01,B04,
19A0112,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,72,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/24/19,,Hot Borate,yes,,769.632,2.099,2.234,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_01,B05,
19A0356,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,892.236,2.015,1.325,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,B06,
19A0219,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,540.776,2.025,1.233,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_01,B07,
19A0032,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,349.252,2.018,1.569,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_01,B08,
19A0220,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,6.397,0.745,0.121,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,B09,
19A0179,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,452.782,2.059,1.539,20,Water,Jenna Hershberger,7/16/20,FALSE,SC_RNA_01,B10,
19A0326,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,1205.789,2.067,1.863,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_01,B11,
19A0195,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,532.351,2.052,2.109,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,B12,
19A0202,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,756.193,2.099,1.716,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,C01,
19A0231,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,1103.111,2.02,1.224,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_01,C02,junk
19A0146,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,1144.405,2.077,2.022,20,Water,Jenna Hershberger,7/2/20,FALSE,SC_RNA_01,C03,
BLANK,,,Zea mays,1,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,0,Water,Jenna Hershberger,,FALSE,SC_RNA_01,C04,
19A0224,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,884.302,2.041,1.236,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_01,C05,
19A0406,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,1581.9,2.053,1.512,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_01,C06,
19A0115,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,1313.514,2.035,1.77,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,C07,
19A0232,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,818.592,1.991,1.005,20,Water,Jenna Hershberger,7/9/20,TRUE,SC_RNA_01,C08,
19A0449,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,628.477,2.028,1.552,20,Water,Jenna Hershberger,7/16/20,FALSE,SC_RNA_01,C09,
19A0099,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,1405.015,1.97,1.179,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_01,C10,
19A0193,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,1118.646,2.005,1.146,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_01,C11,
19A0223,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,764.519,2.005,1.004,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_01,C12,
19A0240,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,202.026,2.006,1,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_01,D01,junk
19A0262,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,508.988,1.991,1.337,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,D02,
19A0078,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,433.367,2.067,1.732,20,Water,Jenna Hershberger,6/29/20,TRUE,SC_RNA_01,D03,
19A0334,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,1191.795,2.025,1.242,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_01,D04,
Pos_Control,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,20,Water,Jenna Hershberger,,FALSE,SC_RNA_01,D05,
19A0243,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,484.089,2.024,1.972,20,Water,Jenna Hershberger,7/2/20,FALSE,SC_RNA_01,D06,
19A0343,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,331.684,1.999,1.343,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,D07,
19A0246,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,102,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/23/19,,Hot Borate,yes,,202.889,1.787,0.503,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,D08,junk
19A0318,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,728.428,2.05,2.209,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,D09,
19A0457,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,552.826,1.97,0.89,20,Water,Jenna Hershberger,6/24/20,FALSE,SC_RNA_01,D10,
19A0309,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,2464.273,1.93,1.618,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_01,D11,
19A0379,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,980.468,2.019,1.191,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_01,D12,
19A0366,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,838.469,2.038,1.343,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_01,E01,
19A0192,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,489.528,2.014,1.112,20,Water,Jenna Hershberger,6/29/20,TRUE,SC_RNA_01,E02,
19A0364,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,101,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/22/19,,Hot Borate,yes,,330.289,1.977,0.953,20,Water,Jenna Hershberger,6/24/20,FALSE,SC_RNA_01,E03,
19A0222,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,683.437,1.996,1.382,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,E04,
19A0110,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,803.156,1.654,1.329,20,Water,Jenna Hershberger,3/12/20,TRUE,SC_RNA_01,E05,
19A0425,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,1598.565,2.092,1.809,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_01,E06,
19A0384,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,90,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/11/19,,Hot Borate,yes,,724.237,2.101,1.477,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_01,E07,
19A0458,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,660.044,2.069,2.208,20,Water,Jenna Hershberger,6/30/20,FALSE,SC_RNA_01,E08,
19A0440,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,530.193,2.038,1.311,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,E09,
19A0398,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,Huge ear,Hot Borate,yes,,871.006,2.055,1.783,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,E10,
19A0271,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,90,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/11/19,,Hot Borate,yes,,688.712,1.923,0.849,20,Water,Jenna Hershberger,7/8/20,FALSE,SC_RNA_01,E11,
19A0198,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,248.87,2.053,1.826,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,E12,
19A0210,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,907.018,2.027,1.39,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,F01,
19A0024,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,600.013,2.051,1.681,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_01,F02,
19A0213,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,70,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/22/19,,Hot Borate,yes,,897.537,2.091,1.887,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_01,F03,
19A0122,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,70,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/22/19,,Hot Borate,yes,,1439.722,2.055,1.525,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,F04,
19A0207,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,565.28,2.011,1.301,20,Water,Jenna Hershberger,6/30/20,FALSE,SC_RNA_01,F05,
19A0448,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,833.611,2.102,1.59,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_01,F06,
Pos_Control,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,20,Water,Jenna Hershberger,,FALSE,SC_RNA_01,F07,
19A0294,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,1037.865,2.082,1.625,20,Water,Jenna Hershberger,6/30/20,TRUE,SC_RNA_01,F08,
19A0305,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,971.817,2.056,1.598,20,Water,Jenna Hershberger,7/16/20,FALSE,SC_RNA_01,F09,
19A0353,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,Aphids,Hot Borate,yes,,1083.911,2.08,1.658,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_01,F10,
19A0172,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,1058.131,2.089,1.625,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,F11,
19A0185,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,787.655,2.055,1.54,20,Water,Jenna Hershberger,7/8/20,FALSE,SC_RNA_01,F12,
19A0148,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,811.411,2.053,1.427,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_01,G01,
19A0382,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,147.067,1.734,0.508,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,G02,
19A0327,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,658.519,2.061,2.162,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,G03,
19A0422,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,103,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/24/19,,Hot Borate,yes,,2539.844,1.99,1.873,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_01,G04,
19A0010,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,4.946,0.795,0.126,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,G05,
19A0289,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,708.697,2.106,1.938,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_01,G06,
